minx    miny    width    height    
257    1    56    100    
698    68    67    77    
306    101    53    103    
258    126    12    26    
708    144    58    33    
292    196    68    88    
278    335    31    19    
257    336    20    27    
372    349    34    20    
361    367    28    20    
301    522    17    15    
356    563    29    21    
315    592    22    20    
306    607    116    104    
271    633    13    14    
513    677    30    20    
469    695    23    14    
361    717    27    18    
367    735    29    12    
445    736    25    13    
438    781    18    14    
410    787    30    15    
258    795    37    20    
425    813    30    16    
287    863    18    14    
