minx    miny    width    height    
299    0    34    10    
420    31    22    18    
341    125    29    24    
354    157    24    16    
256    192    1    124    
416    202    28    15    
542    291    14    18    
546    351    15    20    
317    397    30    11    
316    414    44    16    
353    431    16    14    
274    440    33    30    
420    441    27    14    
452    447    37    16    
307    449    55    26    
417    465    40    29    
606    470    15    14    
386    478    18    19    
338    495    24    22    
334    524    28    22    
550    538    29    16    
412    544    31    12    
273    552    22    10    
351    558    29    15    
258    565    57    42    
353    577    22    18    
368    591    25    18    
318    597    30    13    
567    614    16    20    
363    635    15    24    
447    668    25    20    
375    678    41    24    
484    701    23    16    
450    720    54    37    
324    722    16    17    
408    753    18    23    
347    760    52    42    
330    844    15    18    
