minx    miny    width    height    
81    0    28    19    
563    99    29    15    
654    102    34    17    
353    114    18    12    
409    126    30    19    
295    127    27    8    
174    144    16    15    
318    159    23    12    
715    173    16    17    
189    176    22    11    
830    177    25    19    
412    180    30    11    
774    189    21    10    
832    206    20    15    
457    211    18    11    
384    220    18    11    
680    228    28    12    
478    232    25    24    
545    236    23    24    
712    237    22    13    
630    242    19    23    
677    244    32    21    
749    246    20    14    
772    248    18    14    
326    250    38    18    
368    254    21    11    
159    264    110    60    
647    264    36    21    
560    265    25    14    
697    268    23    13    
307    278    23    13    
274    290    26    12    
799    296    32    18    
908    322    19    14    
86    339    21    16    
353    342    49    18    
744    342    27    9    
112    344    26    15    
737    360    27    15    
770    362    59    34    
123    366    46    24    
558    367    30    12    
55    371    19    23    
528    375    29    18    
739    379    19    12    
328    380    22    11    
60    383    182    59    
244    389    32    11    
647    398    19    15    
741    400    13    22    
775    400    14    16    
860    405    28    12    
914    406    19    24    
639    414    25    10    
14    419    24    21    
814    425    25    13    
196    438    30    14    
12    442    18    18    
135    443    61    16    
335    451    29    16    
850    459    37    17    
872    471    93    68    
959    481    22    30    
832    487    20    14    
350    491    39    29    
14    494    26    20    
520    512    19    14    
296    533    31    15    
425    534    20    18    
205    536    27    16    
764    563    17    12    
617    566    26    16    
165    582    19    18    
799    584    33    21    
654    589    40    35    
309    591    28    21    
368    598    28    14    
446    607    19    17    
884    622    20    17    
777    631    28    16    
902    636    23    20    
13    643    23    12    
762    647    23    16    
414    659    20    13    
893    660    18    18    
12    686    18    62    
616    697    17    19    
288    700    23    29    
534    702    30    22    
419    717    37    37    
411    724    18    17    
306    726    24    18    
534    731    25    10    
537    743    28    14    
740    750    27    16    
393    756    18    18    
891    773    28    21    
787    777    20    18    
828    784    27    19    
975    793    25    21    
708    804    19    14    
826    809    20    14    
850    813    25    13    
413    815    21    20    
667    829    26    24    
824    833    17    12    
532    842    29    32    
754    856    27    15    
644    860    161    96    
565    895    43    29    
12    971    12    53    
744    1014    28    9    
