minx    miny    width    height    
257    0    58    78    
509    0    36    115    
574    213    13    22    
298    220    12    24    
562    258    15    15    
493    287    59    48    
582    293    15    18    
319    322    15    21    
547    323    34    17    
258    326    45    82    
256    329    2    248    
354    424    16    26    
453    438    29    21    
258    444    19    17    
575    451    47    63    
348    453    14    18    
559    488    14    20    
281    489    24    25    
316    491    23    35    
414    512    37    29    
487    514    28    15    
328    520    30    18    
446    520    16    19    
486    529    20    14    
677    622    21    18    
544    650    28    16    
527    666    15    24    
428    667    17    16    
316    675    40    39    
625    681    17    14    
452    682    25    20    
550    685    19    19    
357    714    20    12    
563    724    35    39    
513    732    22    23    
608    745    29    30    
395    763    24    12    
289    777    22    13    
366    780    33    17    
284    799    17    13    
304    801    32    24    
256    821    1    131    
524    823    30    9    
395    864    23    14    
354    877    12    23    
258    982    17    25    
