minx    miny    width    height    
1008    0    4    36    
13    1    142    328    
370    1    36    16    
838    1    79    94    
215    12    40    34    
181    42    21    12    
219    51    18    13    
1009    53    3    72    
184    57    39    17    
230    83    43    26    
914    140    6    31    
457    146    32    20    
406    147    31    10    
870    151    9    21    
12    159    1    211    
225    159    38    6    
446    186    17    14    
288    208    35    30    
418    238    33    23    
368    247    45    24    
409    260    40    20    
371    300    44    10    
526    312    17    36    
549    326    9    25    
203    339    36    31    
14    340    19    34    
572    354    13    19    
379    355    21    16    
558    369    16    28    
605    372    23    43    
326    383    28    27    
390    399    24    13    
552    404    34    60    
14    408    31    35    
473    409    24    14    
479    425    42    32    
405    426    22    13    
433    453    21    17    
388    457    34    21    
491    467    42    41    
440    473    19    12    
409    478    38    31    
550    480    17    13    
537    486    15    16    
706    501    9    22    
593    505    19    34    
451    533    31    32    
556    540    31    48    
497    557    26    28    
187    587    20    18    
496    590    28    26    
30    597    18    14    
93    601    19    23    
13    604    33    34    
283    608    34    30    
568    611    23    23    
567    636    15    27    
25    647    39    31    
456    648    19    20    
517    660    41    40    
103    662    14    33    
309    666    33    18    
575    710    32    26    
645    715    14    16    
281    737    23    20    
447    746    23    10    
451    759    22    14    
508    806    23    23    
392    829    46    36    
435    839    29    30    
186    840    23    15    
12    887    13    37    
1009    938    3    86    
