minx    miny    width    height    
256    1    1    330    
257    1    106    100    
452    162    79    29    
258    175    41    151    
283    217    23    10    
256    329    3    67    
512    371    23    18    
364    503    25    26    
421    560    13    27    
373    583    28    25    
639    588    20    30    
624    591    16    18    
281    593    19    12    
427    596    24    24    
489    668    26    14    
413    678    38    38    
318    681    34    27    
494    687    26    26    
476    707    31    14    
480    729    21    14    
539    729    30    22    
575    731    29    15    
522    738    23    17    
324    741    34    27    
509    745    16    13    
573    745    18    21    
317    776    21    19    
415    788    33    25    
295    803    26    13    
289    813    29    34    
481    838    20    17    
393    840    56    41    
275    901    13    19    
403    905    18    20    
257    984    16    39    
