minx    miny    width    height    
256    1    1    297    
745    54    22    142    
452    129    23    20    
432    224    25    16    
349    501    43    28    
258    519    14    56    
256    547    2    121    
258    595    11    19    
285    613    34    45    
291    668    21    13    
562    678    18    28    
277    683    39    29    
473    709    16    24    
289    736    19    21    
540    742    28    18    
258    757    15    25    
257    785    12    23    
451    787    19    12    
481    788    25    13    
301    793    24    19    
310    831    13    20    
256    888    2    135    
257    950    25    73    
