minx    miny    width    height    
187    0    139    2    
654    0    183    2    
638    1    200    457    
634    93    14    19    
663    257    22    14    
802    292    20    32    
538    354    24    12    
786    391    18    23    
332    511    21    13    
526    545    27    22    
612    547    127    64    
504    553    23    21    
531    559    37    28    
823    559    15    25    
568    560    17    15    
393    575    16    13    
454    586    32    16    
555    590    20    10    
489    595    78    46    
473    607    17    14    
771    608    32    25    
602    626    19    16    
287    628    13    17    
550    629    24    19    
502    645    28    11    
384    659    21    10    
497    681    28    18    
715    685    23    17    
455    689    18    24    
505    709    29    20    
774    710    24    19    
724    711    53    23    
804    724    33    31    
566    726    47    16    
727    727    42    21    
642    740    58    25    
713    744    44    24    
469    765    54    35    
334    766    20    21    
395    781    22    21    
802    786    33    20    
322    794    32    21    
531    822    20    10    
497    824    21    19    
702    828    23    13    
456    839    19    12    
765    839    29    25    
438    841    24    12    
397    842    19    19    
793    846    19    22    
744    850    23    18    
475    851    25    15    
822    861    15    28    
421    869    20    18    
527    900    19    16    
817    906    20    64    
