minx    miny    width    height    
600    0    168    2    
256    2    1    134    
258    2    80    135    
603    2    165    283    
767    2    2    110    
596    78    20    34    
768    112    1    272    
585    139    21    18    
600    166    17    14    
525    200    21    28    
452    209    12    26    
507    251    18    22    
540    261    36    22    
644    286    29    16    
439    293    29    42    
557    303    21    19    
751    304    17    33    
613    305    20    12    
655    307    28    19    
640    331    16    19    
570    367    33    44    
688    376    22    20    
446    378    21    20    
381    387    16    20    
507    398    23    17    
416    399    22    16    
393    407    18    15    
441    429    17    18    
411    440    13    26    
539    467    21    15    
542    489    28    12    
686    490    23    12    
650    508    27    21    
378    509    23    38    
590    509    21    19    
501    527    22    13    
447    529    19    12    
634    541    20    13    
429    553    27    36    
701    553    29    25    
395    563    19    18    
705    590    30    23    
585    596    24    21    
558    603    28    19    
666    618    36    21    
484    635    83    50    
741    650    14    17    
751    654    16    42    
429    660    27    15    
435    672    123    85    
608    672    20    11    
607    696    21    13    
747    700    17    17    
667    748    18    28    
741    797    27    33    
727    851    41    23    
748    997    20    27    
