minx    miny    width    height    
728    0    108    2    
625    1    62    15    
687    37    35    55    
634    56    22    19    
698    94    21    15    
725    215    12    17    
502    271    32    17    
694    272    26    15    
637    281    23    13    
770    292    19    23    
565    313    21    9    
703    340    63    71    
568    368    30    19    
557    423    53    28    
656    483    40    31    
810    504    26    27    
680    535    22    13    
799    541    15    14    
695    548    40    24    
785    571    26    23    
824    581    13    28    
587    584    28    22    
627    584    17    19    
361    593    27    55    
481    626    22    19    
816    634    20    32    
700    636    23    23    
773    698    15    13    
791    698    47    31    
391    759    12    16    
775    808    20    22    
813    851    25    125    
556    871    24    17    
611    896    20    25    
668    921    25    23    
799    944    25    42    
794    988    36    36    
823    988    14    18    
806    989    31    34    
