minx    miny    width    height    
256    1    1    202    
447    119    20    33    
379    210    22    22    
256    211    1    154    
305    274    28    11    
392    313    199    180    
263    373    41    33    
362    376    44    38    
337    440    18    14    
369    445    17    20    
257    448    12    39    
356    451    23    35    
303    466    33    28    
407    476    26    25    
266    478    19    17    
497    482    46    36    
486    502    22    19    
417    505    45    27    
507    512    71    70    
300    515    22    13    
479    546    22    31    
551    576    23    16    
641    587    28    47    
259    602    19    19    
425    614    32    27    
300    633    24    18    
341    639    26    10    
260    662    54    21    
283    677    32    15    
313    681    60    43    
486    709    19    17    
308    727    45    22    
272    728    33    31    
257    730    21    19    
315    764    20    12    
257    777    25    17    
