minx    miny    width    height    
188    0    122    1    
651    0    105    2    
599    118    22    29    
768    145    1    176    
578    215    31    30    
631    248    19    11    
649    383    46    30    
466    391    19    15    
505    446    18    14    
525    470    27    29    
642    524    19    28    
518    536    26    16    
437    541    23    24    
677    545    19    15    
521    564    18    24    
670    565    15    24    
701    565    21    28    
657    589    35    15    
425    603    21    21    
501    633    16    15    
538    639    13    19    
563    653    13    15    
552    668    23    27    
528    675    23    13    
642    675    15    16    
453    692    18    15    
667    693    12    17    
622    701    36    29    
431    712    25    29    
480    714    22    26    
730    738    23    16    
475    785    69    43    
656    811    16    15    
622    823    26    33    
464    835    25    9    
751    942    17    39    
