minx    miny    width    height    
313    0    124    1    
744    0    81    2    
747    2    61    17    
810    2    27    46    
636    9    17    16    
188    40    2    155    
225    76    77    130    
817    93    19    13    
546    212    21    18    
554    218    41    48    
712    233    65    48    
699    266    10    23    
745    274    23    22    
485    277    90    71    
580    317    49    29    
591    345    13    18    
189    364    17    660    
493    365    29    12    
818    388    18    47    
836    451    2    119    
804    458    23    10    
808    541    28    33    
582    572    26    17    
654    602    19    10    
822    603    15    38    
625    621    31    26    
787    635    19    11    
677    641    36    15    
627    658    25    25    
740    668    15    14    
697    669    31    26    
593    676    18    14    
503    678    26    24    
791    678    20    13    
811    682    25    15    
438    689    24    21    
554    695    22    20    
763    705    25    9    
640    708    18    13    
418    723    23    32    
292    724    28    39    
599    729    21    10    
740    735    16    19    
488    742    36    34    
781    745    32    13    
624    751    21    17    
728    768    30    14    
519    769    33    19    
581    769    39    35    
718    788    19    26    
462    797    23    34    
675    804    25    19    
387    811    15    15    
569    815    27    21    
343    839    41    28    
527    853    36    21    
414    867    28    21    
808    868    29    30    
747    873    21    14    
509    876    23    21    
666    876    31    14    
592    887    37    22    
528    891    31    24    
483    892    25    33    
384    894    28    18    
692    898    24    16    
722    901    26    33    
429    905    31    21    
812    910    25    42    
642    925    72    46    
453    951    48    25    
683    953    45    24    
616    970    20    16    
