minx    miny    width    height    
257    0    44    239    
301    0    145    1    
256    1    1    268    
483    129    23    18    
310    167    20    21    
375    171    69    36    
533    207    26    21    
445    254    25    13    
447    269    23    13    
481    273    16    11    
363    335    24    15    
384    368    21    17    
500    402    20    24    
438    414    25    24    
472    417    16    13    
417    420    22    12    
411    466    18    15    
539    492    18    19    
366    501    16    22    
499    510    24    19    
465    554    24    20    
567    598    21    23    
257    600    19    19    
299    601    24    23    
327    615    12    21    
467    618    18    21    
393    652    13    21    
592    691    16    17    
518    704    25    25    
448    707    19    12    
276    710    17    26    
575    737    15    16    
623    746    17    24    
561    757    24    12    
291    763    23    39    
456    798    19    14    
496    827    25    19    
