minx    miny    width    height    
224    53    56    49    
279    91    26    13    
231    104    92    22    
188    105    53    22    
313    247    134    70    
517    260    28    20    
305    293    36    17    
504    296    26    20    
569    306    16    19    
312    311    23    14    
540    323    19    20    
439    328    17    21    
462    336    48    24    
426    338    17    17    
214    349    53    32    
393    367    44    27    
522    367    19    14    
188    388    17    14    
658    393    15    23    
312    396    78    75    
229    397    40    15    
453    421    22    15    
418    422    20    23    
714    425    19    12    
364    426    22    16    
284    439    25    19    
536    459    22    13    
691    468    17    25    
613    471    22    26    
717    481    19    20    
469    482    27    20    
189    484    10    23    
599    491    26    16    
509    500    33    14    
204    504    57    37    
663    520    20    16    
480    527    28    18    
264    536    44    25    
329    536    35    18    
416    542    40    23    
459    544    22    18    
492    545    26    16    
589    546    40    25    
646    552    20    24    
692    556    21    14    
419    559    24    8    
189    564    15    18    
301    568    25    14    
421    568    53    25    
653    581    19    17    
343    583    22    19    
566    586    29    13    
388    607    60    37    
439    653    24    10    
620    656    21    14    
680    666    30    24    
652    675    22    12    
610    678    31    24    
581    694    56    81    
652    702    52    16    
664    723    43    24    
189    741    7    33    
641    741    36    20    
406    744    25    30    
534    783    25    17    
642    802    30    14    
243    948    15    13    
230    954    80    28    
