minx    miny    width    height    
259    0    82    99    
254    1    14    64    
811    14    25    47    
567    89    21    16    
837    104    1    174    
820    139    16    22    
702    148    27    14    
463    179    33    20    
472    195    29    9    
504    270    23    11    
749    331    13    18    
559    335    19    10    
803    424    33    29    
686    441    28    9    
813    484    16    18    
427    497    21    16    
719    500    15    24    
636    540    16    21    
662    551    21    16    
472    553    28    28    
564    575    21    14    
726    577    37    28    
714    594    15    13    
345    612    30    45    
675    694    28    22    
574    715    18    19    
496    717    23    15    
782    723    29    20    
633    728    15    19    
561    762    45    36    
790    764    16    24    
495    788    29    20    
473    803    17    18    
451    807    16    19    
475    814    38    23    
453    833    82    72    
612    841    26    17    
669    891    22    25    
833    968    5    53    
