minx    miny    width    height    
188    0    17    34    
706    0    77    34    
834    1    3    296    
267    73    26    10    
195    231    21    15    
419    320    22    18    
482    321    19    13    
503    336    12    16    
348    337    22    14    
415    356    16    17    
486    361    29    14    
517    366    15    26    
386    367    29    13    
529    367    32    26    
378    389    29    11    
517    393    26    15    
188    407    23    19    
540    432    56    41    
443    436    52    28    
594    496    21    15    
483    506    22    29    
535    524    22    15    
531    540    17    18    
405    551    39    42    
375    578    24    12    
303    589    46    34    
497    641    30    18    
320    644    21    13    
229    649    23    17    
417    654    18    14    
427    662    88    51    
361    675    25    16    
406    684    22    17    
369    697    25    17    
414    717    76    55    
311    719    44    29    
451    766    28    15    
631    794    16    16    
231    799    27    23    
462    799    20    22    
634    800    28    24    
648    821    25    13    
441    866    20    20    
529    882    25    10    
340    911    20    18    
