minx    miny    maxx    maxy    
0    257    197    371    
223    256    374    257    
303    297    324    323    
344    286    376    321    
352    421    365    439    
364    257    442    307    
407    424    445    467    
421    356    441    388    
501    257    518    280    
516    374    541    418    
531    457    558    476    
539    256    730    257    
549    358    561    391    
588    342    602    365    
729    257    750    282    
810    257    908    266    
822    256    906    259    
