minx    miny    width    height    
256    0    237    2    
742    0    94    2    
189    39    43    136    
645    44    18    17    
675    99    15    27    
837    110    1    142    
783    128    21    25    
662    130    26    26    
676    160    42    36    
613    174    31    28    
669    226    14    17    
682    226    28    19    
596    241    31    27    
623    246    31    19    
670    246    21    20    
731    253    29    26    
551    260    44    24    
621    268    20    11    
678    305    38    28    
603    346    18    18    
665    362    38    41    
706    375    17    18    
471    383    33    32    
691    408    26    29    
828    409    8    32    
483    412    17    28    
457    416    18    13    
421    444    19    11    
538    460    15    14    
426    472    20    20    
757    478    25    27    
380    485    21    30    
798    493    27    27    
696    500    21    20    
807    505    23    22    
513    507    24    19    
770    510    20    11    
646    514    21    10    
417    517    26    40    
825    519    12    16    
772    521    26    35    
613    524    20    13    
672    528    15    17    
754    533    14    21    
350    544    19    26    
391    545    15    16    
358    564    14    32    
774    564    19    21    
420    577    23    22    
611    587    17    15    
444    589    13    16    
655    593    17    23    
588    610    14    17    
716    610    15    19    
414    632    26    16    
759    635    14    23    
376    642    13    18    
621    663    20    17    
722    671    15    17    
379    673    27    22    
373    698    14    15    
630    702    23    14    
583    707    22    15    
526    711    58    41    
398    720    70    38    
603    733    24    17    
659    739    34    35    
347    743    28    23    
494    768    22    15    
687    811    28    11    
385    820    37    47    
688    821    28    14    
673    869    22    17    
589    872    25    17    
453    876    22    11    
456    901    35    14    
