minx    miny    width    height    
463    0    93    41    
313    152    11    28    
469    224    14    17    
332    301    11    19    
421    442    16    17    
417    468    19    16    
330    477    26    15    
391    526    28    29    
516    552    18    13    
379    555    45    23    
456    557    28    20    
516    569    19    26    
494    573    20    27    
349    596    18    11    
406    608    12    15    
378    615    26    19    
314    619    22    13    
453    634    19    15    
327    659    28    21    
420    663    46    37    
554    668    17    28    
506    689    12    18    
473    691    28    16    
350    696    16    14    
454    709    18    25    
358    737    21    14    
329    898    17    29    
313    906    15    16    
